name,category,description
add,Arithmetic,"Add all inputs (at least 2 inputs required). If filter = true, filter all input NaN to 0 before adding"
exp,Arithmetic,Natural exponential function: e^x
multiply,Arithmetic,Multiply all inputs. At least 2 inputs are required. Filter sets the NaN values to 1
sign,Arithmetic,if input = NaN; return NaN
subtract,Arithmetic,"x-y. If filter = true, filter all input NaN to 0 before subtracting"
pasteurize,Arithmetic,Set to NaN if x is INF or if the underlying instrument is not in the Alpha universe. This operator may help reduce outliers.
log,Arithmetic,Natural logarithm. For example: Log(high/low) uses natural logarithm of high/low ratio as stock weights.
purify,Arithmetic,"Clear infinities (+inf, -inf) by replacing with NaN"
arc_tan,Arithmetic,This operator does inverse tangent of input
max,Arithmetic,Maximum value of all inputs. At least 2 inputs are required
arc_sin,Arithmetic,If -1 <= x <= 1: arcsin(x); else NaN
to_nan,Arithmetic,Convert value to NaN or NaN to value if reverse=true
abs,Arithmetic,Absolute value of x
round_down,Arithmetic,Round input to greatest multiple of f less than input;
sigmoid,Arithmetic,Returns 1 / (1 + exp(-x))
divide,Arithmetic,x / y
min,Arithmetic,Minimum value of all inputs. At least 2 inputs are required
nan_mask,Arithmetic,"replace input with NAN if input's corresponding mask value or the second input here, is negative"
arc_cos,Arithmetic,If -1 <= x <= 1: arccos(x); else NaN
tanh,Arithmetic,Hyperbolic tangent of x
nan_out,Arithmetic,"If x < lower or x > upper return NaN, else return x. At least one of ""lower"", ""upper"" is required"
signed_power,Arithmetic,x raised to the power of y such that final result preserves sign of x
inverse,Arithmetic,1 / x
round,Arithmetic,Round input to closest integer.
sqrt,Arithmetic,Square root of x
s_log_1p,Arithmetic,Confine function to a shorter range using logarithm such that higher input remains higher and negative input remains negative as an output of resulting function and -1 or 1 is an asymptotic value
reverse,Arithmetic, - x
replace,Arithmetic,Replace target values in input with destination values
log_diff,Arithmetic,Returns log(current value of input or x[t] ) - log(previous value of input or x[t-1])
power,Arithmetic,x ^ y
densify,Arithmetic,Converts a grouping field of many buckets into lesser number of only available buckets so as to make working with grouping fields computationally efficient
fraction,Arithmetic,This operator removes the whole number part and returns the remaining fraction part with sign
floor,Arithmetic,Nearest smaller integer
ceiling,Arithmetic,Nearest larger integer
or,Logical,Logical OR operator returns true if either or both inputs are true and returns false otherwise
and,Logical,"Logical AND operator, returns true if both operands are true and returns false otherwise"
not,Logical,"Returns the logical negation of x. If x is true (1), it returns false (0), and if input is false (0), it returns true (1)."
is_not_finite,Logical,If (input NAN or input == INF) return 1 else return 0
negate,Logical,The result is true if the converted operand is false; the result is false if the converted operand is true
is_nan,Logical,If (input == NaN) return 1 else return 0
is_not_nan,Logical,If (input != NaN) return 1 else return 0
less,Logical,"If input1 < input2 return true, else return false"
equal,Logical,Returns true if both inputs are same and returns false otherwise
greater,Logical,Logic comparison operators to compares two inputs
is_finite,Logical,"If (input NaN or input == INF) return 0, else return 1"
if_else,Logical,If input1 is true then return input2 else return input3.
not_equal,Logical,Returns true if both inputs are NOT the same and returns false otherwise
less_equal,Logical,"Returns true if input1 <= input2, return false otherwise"
greater_equal,Logical,"Returns true if input1 >= input2, return false otherwise"
ts_corr,Time Series,Returns correlation of x and y for the past d days
ts_zscore,Time Series,"Z-score is a numerical measurement that describes a value's relationship to the mean of a group of values. Z-score is measured in terms of standard deviations from the mean: (x - tsmean(x,d)) / tsstddev(x,d). This operator may help reduce outliers and drawdown."
ts_returns,Time Series,Returns the relative change in the x value
ts_product,Time Series,Returns product of x for the past d days
ts_std_dev,Time Series,Returns standard deviation of x for the past d days
ts_triple_corr,Time Series,"Returns triple correlation of x, y, z for the past d days"
